"Slno","Channel","URL"
1,"Star One","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=starone"
2,"Star plus","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=starplus"
3,"Star utsav","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=starutsav"
4,"Star movies","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=starmovies"
5,"Star world","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=starworld"
6,"Star news","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=starnews"
7,"Star Gold","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=stargold"
8,"Channel [v]","http://www.vindia.com/schedule.html"
9,"Stat Vijay","http://app.indya.com/epg/asp/displaySchedules.asp?ddChannelName=starvijay"
10,"E TV","http://www.etv.co.in/etv-d4/schedules.php"
11,"E TV 2",
12,"E TV bihar",
13,"E TV gujarathi",
14,"E TV kannada",
15,"E TV marathi",
16,"E TV madhya pradesh",
17,"E TV oriya",
18,"E TV uttar pradesh",
19,"E TV urdu",
20,"E TV bangala ",
21,"E TV rajasthan",
22,"ZEE TV","http://www.zee-tv.com/"
23,"Zee Cafe",
24,"Zee Studio",
25,"Zee Cinema",
26,"Zee Muzic",
27,"Zee News",
28,"Zee Sports",
29,"Zee Trendz",
30,"Zee USA",
31,"Zee UK",
32,"Zee UAE",
33,"Sun TV (tamil)","http://www.sunnetwork.org/tvschedules/schedule.asp"
34,"KTV (tamil)",
35,"Sun Music (tamil)",
36,"Sun News (tamil)",
37,"Chutti TV (tamil)",
38,"Gemini TV (telugu)",
39,"TejaTV (telugu)",
40,"Gemini News (telugu)",
41,"Gemini Music (telugu)",
42,"SuryaTV (mal)",
43,"KiranTV (mal)",
44,"UdayaTV (kan)",
45,"UsheTV (kan)",
46,"Udaya2 (kan)",
47,"Udaya Movies (kan)",
48,"Udaya Varthegalu (kan)",
49,"Udaya News (kan)",
50,"Raj tv (tamil)","http://www.rajtvnet.in/programs.html"
51,"Raj Digital (tamil)","http://www.rajtvnet.in/programsplus.html"
52,"NDTV 24x7","http://www.ndtv.com/convergence/ndtv/schedule.aspx?progcat=english"
53,"NDTV India","http://www.ndtv.com/convergence/ndtv/schedule.aspx?progcat=hindi"
54,"NDTV Profit","http://www.ndtv.com/convergence/ndtv/schedule.aspx?progcat=business"
55,"AXN","http://www.axn-india.com/schedule/"
56,"B4U movies","http://www.b4utv.com/b4umovies/schedule/index.shtml"
57,"B4U music","http://www.b4utv.com/b4umusic/schedule/index.shtml"
58,"CNN IBN","http://www.ibnlive.com/fpc/program_display.php"
59,"AAJ TAK","http://www.aajtak.com/?STORY=PROGRAM"
60,"Headline Today",
61,,
62,,
63,,
64,,
65,,
